scientific_name,common_name,description,image_url
Murraya  paniculata,Orange Jasmine,"Murraya paniculata, called orange jasmine, is an evergreen shrub with glossy pinnate leaves, clusters of sweetly fragrant white flowers and small orange-red berries. It’s used as a hedge or ornamental, attracts pollinators, and thrives in tropical to subtropical gardens.",
Nematanthus 'Yellow Maroon',Goldfish Plant,"Nematanthus 'Yellow Maroon' is a compact, trailing houseplant with glossy green leaves and tubular yellow flowers tipped or spotted with maroon. It blooms profusely in bright, indirect light, prefers warm, humid conditions, and makes a lovely hanging-basket plant.",
Neoregelia 'Dragon',Dragon Bromeliad,"Neoregelia 'Dragon' is a compact bromeliad with glossy, spiny-edged leaves forming a colorful rosette that often shows bright reds, purples, and greens. It prefers bright, indirect light, moderate humidity, and is an easy, low-maintenance houseplant.",
Neoregelia 'Zoe',Bromeliad ,"Neoregelia 'Zoe' is a compact, rosette-forming bromeliad prized for its colorful central cup and dramatic foliage. Easy-care and low-growing, it prefers bright, indirect light, warm temperatures and regular moisture in the cup—ideal for containers, terrariums, or tropical gardens.",
Nerium oleander ,Austin Pretty Limits Oleander,"Nerium oleander is an evergreen shrub or small tree with glossy leathery leaves and clusters of showy, often fragrant flowers in white, pink, red, or yellow. It tolerates drought and is used in landscaping, but all parts are highly toxic if ingested.",
Oncidium sphacelatum,Kandyan Dancer Orchid,"Oncidium sphacelatum is a small-to-medium epiphytic orchid native to tropical America. It forms clustered pseudobulbs with narrow leaves and produces long, arching sprays of many small, bright yellow flowers often flecked with brown. Flowers are fragrant and popular in collections.",
Pandanus tectorius 'Variegata',Variegated Screw Pine,"Pandanus tectorius 'Variegata' is a tropical, salt-tolerant screw pine with striking long, strap-like leaves edged in cream or yellow. It forms a low tree with stilt roots, tolerates coastal conditions and bright light, and adds bold, tropical color to gardens.",
Pavonia x gledhillii 'Rosea',Brazilian Candles,"Pavonia x gledhillii 'Rosea' is a compact, evergreen subshrub with glossy green leaves and abundant soft pink, hibiscus-like blooms. Easy-care, it flowers from summer into autumn, attracts bees and butterflies, and suits containers, borders, or warm-climate gardens.",
Peperomia prostrata,String of Turtles,"Peperomia prostrata, or ""string of turtles,"" is a small trailing houseplant with round, patterned leaves that look like tiny turtle shells. It likes bright, indirect light, well-draining soil and moderate watering, making it ideal for pots, hanging baskets, or terrariums.",
Peperomia rotundifolia 'Hope',Peperomia,"Peperomia rotundifolia 'Hope' is a compact trailing houseplant with tiny, glossy round leaves on thin stems. Perfect for hanging baskets, it prefers bright, indirect light, well-draining soil, and occasional watering. Low-maintenance and generally non-toxic to pets.",
Philodendron 'Florida Green',Florida Green Philodendron,"Philodendron 'Florida Green' is a compact, easy-care tropical houseplant with glossy, heart-shaped green leaves and a trailing growth habit. It prefers bright, indirect light, moderate humidity, and regular but not excessive watering, making it ideal for beginners.",
Philodendron 'Jungle Boogie',Philodendron,"Philodendron 'Jungle Boogie' is a compact, easy-care tropical plant with glossy, heart-shaped leaves splashed with bold cream or yellow variegation. It trails or climbs, prefers bright indirect light, moderate watering, and higher humidity — ideal for hanging baskets or shelves.",
Philodendron 'Pink Princess',Philodendron,"Philodendron 'Pink Princess' is a compact climbing houseplant with glossy dark-green leaves splashed with dramatic pink variegation. Easy to grow, it likes bright, indirect light, moderate watering, and warm, humid conditions—perfect for adding colorful foliage indoors.",
Philodendron billietiae,Philodendron,"Philodendron billietiae is a striking tropical climbing plant with long, narrow, glossy leaves and bright orange-red petioles. Its textured, wavy leaf edges and dramatic shape make it a popular houseplant for warm, humid indoor spaces and climbing support.",
Philodendron burle-marxii,Philodendron,"Philodendron burle-marxii is a tropical vining plant with glossy, elongated heart-shaped leaves that can be green to bronze. Easy to grow indoors, it prefers bright, indirect light, moderate watering and humidity. Toxic to pets if eaten.",
Philodendron copense,Philodendron,"Philodendron copense is a tropical climbing or trailing plant with glossy, heart-shaped green leaves that often develop lobes as they age. It prefers bright, indirect light, warm humid conditions, and well-draining soil, making it an easy, attractive houseplant.",
Philodendron gloriosum,Philodendron,"Philodendron gloriosum is a slow-growing aroid with large, velvety, heart-shaped dark green leaves and striking pale veins. It stays low to the ground and prefers bright, indirect light, high humidity, and evenly moist, well-draining soil. Keep away from pets.",
Philodendron hastatum 'Silver Sword',Silver Sword Philodendron,"Philodendron hastatum 'Silver Sword' is a striking vining houseplant with elongated, silvery-green, sword-shaped leaves. Easy to grow, it prefers bright indirect light, moderate watering, and a support to climb or trail. Ideal for modern, metallic foliage accents.",
Philodendron martianum,Flask Philodendron,"Philodendron martianum is a tropical aroid with large, glossy green leaves that form a compact, clumping plant. Native to tropical South America, it thrives in bright, indirect light and humid conditions, making it a popular, easy-care houseplant.",
Philodendron melanochrysum,Black Gold Philodendron,"Philodendron melanochrysum is a tropical climbing plant prized for its large, heart-shaped, velvety dark green leaves with striking golden-bronze veins. It prefers bright, indirect light, warm humidity, and well-draining soil, making it an attractive houseplant.",
Philodendron pastazanum,Philodendron,"Philodendron pastazanum is a tropical climbing aroid from Ecuador, prized for its large, glossy, deep-green leaves that may be heart-shaped or elongated. It enjoys warm, humid conditions and bright, indirect light, making it a striking yet easy-care houseplant.",
Philodendron plowmanii,Philodendron,"Philodendron plowmanii is a tropical climbing aroid with glossy, heart-shaped leaves prized as a houseplant. It prefers bright, indirect light, moderate watering, and high humidity. Easy to grow, it produces aerial roots and tolerates lower light indoors.",
Philodendron warscewiczii,Snowflake Philodendron,"Philodendron warscewiczii is a tropical houseplant with large, bold glossy green leaves that make a dramatic statement. It climbs or spreads, preferring bright, indirect light, warm temperatures, high humidity, and evenly moist, well-draining soil.",
Pilea peperomioides,Chinese Money Plant,"Pilea peperomioides, or Chinese money plant, is a compact houseplant with glossy, round, coin-shaped leaves on thin stems. Easy to grow, it prefers bright indirect light and regular watering. Popular for its cheerful look and fast-forming baby plantlets.",
Piper nigrum,Black Pepper,"Piper nigrum, the black pepper vine, is a tropical climbing plant with glossy, heart-shaped leaves and tiny white flower spikes. It makes clusters of berries that ripen red and turn black when dried; the dried peppercorns are the common kitchen spice.",
Piper unguiculatum,Peruvian Pepper,"Piper unguiculatum is a tropical pepper relative, usually a small shrub or climbing plant with glossy, heart-shaped leaves and tiny spike-like flowers. It prefers moist, shaded forest understories and is occasionally grown for its attractive foliage and faint peppery scent.",
Platycerium alcicorne,Staghorn Fern,"Platycerium alcicorne is a tropical staghorn fern that grows on trees. It has flat, round basal shield fronds and long, branching antler-like fronds that look like horns. Popular as an ornamental, it prefers bright, indirect light, warmth, and humidity.",
Plinia cauliflora 'Sabara',Jaboticaba,"Plinia cauliflora 'Sabara', the jabuticaba 'Sabará', is a small evergreen Brazilian tree that bears sweet, grape-like dark fruits directly on its trunk. Fruits are eaten fresh or made into jellies and wine. Thrives in warm, humid climates and rich, well-drained soil.",
Plumeria rubra,Frangipani,"Plumeria rubra, commonly called frangipani, is a small tropical tree with thick branches, glossy leathery leaves, and clusters of sweetly scented, five-petaled flowers in white, pink, red, or yellow. It prefers full sun, warm weather, and well-drained soil.",
Polyscias guilfoylei 'Ming Gold',Variegated Ming Aralia,"Polyscias guilfoylei 'Ming Gold' is a compact, ornamental shrub with bright yellow-green, lacy leaves. It grows well in bright, indirect light, tolerates lower light, prefers regular watering, and is an easy-care choice for indoors or a sheltered patio.",
Portea 'Candy',Bromeliad,"Portea 'Candy' is a dramatic tropical bromeliad with arching, tough leaves and striking candy-colored flower spikes—pink to coral bracts with small tubular blooms. It forms clumps, prefers bright light and warm, humid conditions, and makes a showy, low-maintenance accent plant.",
Pseuderanthemum laxiflorum,Amethyst Star,"Pseuderanthemum laxiflorum is a tropical, evergreen shrub in the acanthus family. It has glossy, elliptic leaves and loose clusters of tubular, attractive flowers. Easy to grow in warm, humid gardens, it is valued for its foliage and ornamental blooms.",
Psilotum nudum,Hawaiian Moa,"Psilotum nudum, the whisk fern, is a small, ancient vascular plant with smooth, green branching stems, no true leaves or roots, and tiny scale-like enations. It lives on soil or other plants and reproduces by spores in warm regions.",
Quesnelia marmorata 'Tim Plowman',Bromeliad,"Quesnelia marmorata 'Tim Plowman' is a compact rosette-forming bromeliad with striking marbled green and silvery leaves and a central pink-red flower spike. It likes bright, indirect light, warm humid conditions; water into the leaf cup and use a well-draining mix.",
Rhaphidophora tetrasperma,Mini Monstera,"Rhaphidophora tetrasperma, often called the ""mini monstera,"" is a compact climbing aroid with glossy, split leaves that resemble a small Monstera. This popular, easy houseplant prefers bright, indirect light, moderate humidity, and well-draining soil for dramatic foliage.",
Rhipsalis pilocarpa,Hairy Stemmed Rhipsalis,"Rhipsalis pilocarpa is a tropical epiphytic cactus with long, slender pendulous stems forming a trailing, airy clump. It produces small, delicate white flowers followed by tiny berry-like fruits. Prefers bright, indirect light, regular moisture and humid conditions.",
Ruellia prostrata,Bell Weed,"Ruellia prostrata is a low, spreading groundcover with prostrate stems and lush green leaves. It produces showy tubular lavender to purple flowers for many weeks, adding bright color to borders and attracting pollinators. Prefers sunny, well-drained spots.",
Ruellia simplex,Mexican Petunia,"Ruellia simplex (Mexican petunia) is a fast-growing perennial with narrow green leaves and many trumpet-shaped purple to magenta flowers from spring through fall. It tolerates heat, wet or dry soils, but can spread aggressively and become invasive in some regions.",
Saccharum officinarum 'Ivory Stripes',Variegated Sugar Cane,"Saccharum officinarum 'Ivory Stripes' is an ornamental sugarcane with tall clumps and long green leaves banded by creamy-white stripes. It prefers warm, sunny sites with rich, moist soil and adds bold, tropical interest to gardens but is not frost-hardy.",
Sauromatum venosum,Voodoo Lily,"Sauromatum venosum, the voodoo lily, is a tuberous Asian perennial that makes a dramatic maroon-and-green hooded flower (spathe) that smells like rotting meat to attract flies. After flowering it sends up a single umbrella-like leaf and is grown for quirky blooms.",
Selenicereus anthonyanus,Ric Rac Cactus,"Selenicereus anthonyanus, the fishbone or zig-zag cactus, is an epiphytic plant with flat, deeply lobed stems that trail or climb. It bears large, fragrant white night-blooming flowers and is easy to grow indoors with bright, indirect light and moderate water.",
Tapeinochilos ananassae,Indonesian Wax Ginger,"Tapeinochilos ananassae is a tropical perennial from New Guinea with glossy green leaves and showy, pineapple-like clusters of bright red bracts. It forms low clumps about 1–2 m tall and prefers warm, humid, filtered light and moist, well-drained soil.",
Wallisia cyanea,Pink Quill,"Wallisia cyanea, the pink quill plant, is a small bromeliad with flat pink paddle-shaped bracts and tiny blue-purple flowers that last for weeks. It thrives in bright, indirect light, moderate humidity, and warm indoor conditions, making it an easy decorative houseplant.",
Tillandsia xerographica x brachycaulos,Air Plant,"Tillandsia xerographica x brachycaulos is a striking air plant hybrid with a cup-shaped rosette of silvery, curly leaves and colorful blooms. It prefers bright, indirect light, good airflow, and weekly soaks or regular misting. Easy and decorative on mounts.",
Typhonodorum lindleyanum,Water Banana,"Typhonodorum lindleyanum is a large perennial aroid native to Madagascar and nearby islands. It grows in wetlands, with long straplike leaves and a tall spadix inside a colorful spathe, later producing clusters of fleshy berries.",
Vanilla planifolia,Vanilla Orchid,"Vanilla planifolia is a tropical climbing orchid grown for its long, green bean-like pods that produce vanilla flavor. It has fleshy vines, leathery leaves, and fragrant pale-yellow flowers. Native to Mexico, it needs warm, humid conditions and climbing support.",
Vanilla planifolia 'Variegata',Variegated Vanilla Vine,"Vanilla planifolia 'Variegata' is a clambering vanilla orchid with thick, glossy leaves streaked cream and green. It makes fragrant orchid flowers and can produce vanilla pods in warm, humid conditions with support. Variegation makes it ornamental but may reduce pod yield.",
Vriesea 'Splenriet',Flaming Sword ,"Vriesea 'Splenriet' is a striking bromeliad with a neat rosette of glossy green leaves and a flat, paddle-shaped, brightly colored flower spike. Long-lasting and architectural, its vivid bract adds tropical color indoors where it prefers bright, indirect light and humidity.",
Vriesea imperialis green,Giant Bromeliad,"Vriesea imperialis ""Green"" is a tropical bromeliad with a broad rosette of glossy green, strap-like leaves. It produces a tall, long-lasting flower spike with colorful bracts. Easy to grow indoors with bright, indirect light, warmth, and moderate humidity.",
Vriesea simplex x mariae,Painted Feather Bromeliad,"Vriesea simplex x mariae is a compact bromeliad hybrid with glossy, straplike green leaves and a dramatic upright red or orange flower spike. It likes bright, indirect light, moderate humidity, regular cup watering, and warm indoor temperatures.",
Vriesea splendens,Variegated Bromeliad,"Vriesea splendens, the flaming sword bromeliad, has glossy green leaves with silvery horizontal bands and a flat, bright red flower spike. Native to tropical forests, it grows as an epiphyte and likes bright, indirect light, humidity, and easy indoor care.",
Zamia furfuraceae,Cardboard Palm,"Zamia furfuracea, the cardboard palm, is a small, slow-growing cycad with stiff, glossy dark-green pinnate leaves and a short underground trunk. Native to Mexico, it makes cone-like reproductive structures, tolerates shade and drought, and is a popular low-maintenance ornamental.",
Zamioculcas zamiifolia 'Dowon',Raven Z Z Plant,"Zamioculcas zamiifolia 'Dowon' is a compact, slow-growing ZZ plant with glossy, dark green, feather-like leaves and fleshy rhizomes. Low-light and drought tolerant, it’s a tough, low-maintenance houseplant that thrives with minimal water and occasional bright, indirect light.",
Zapoteca portoricensis,White Powder Puff,"Zapoteca portoricensis is a small legume tree or shrub native to Puerto Rico and nearby Caribbean islands. It has feathery pinnate leaves, clusters of creamy-yellow pea-like flowers and flat seed pods. It fixes nitrogen, helping poor soils, and is sometimes used ornamentally or as a hedge.",
Zingiber officianale,Edible Ginger,"Zingiber officinale, commonly called ginger, is a tropical, aromatic rhizome used as a spice and medicine. It has knobbly underground stems, narrow green leaves, and pale yellow flowers. Ginger adds warm, spicy flavor and soothes digestion.",
Zingiber zerumbet,Bitter Ginger,"Zingiber zerumbet, called shampoo ginger or pinecone ginger, is a tropical perennial with fragrant, cone-shaped, red to amber flower heads and glossy green leaves. Crushed cones release a silky scented liquid used as natural shampoo, hair treatment, and traditional medicine.",
Agave angustifolia var. angustifolia ,"
","Agave angustifolia var. angustifolia is a drought-tolerant succulent forming a dense rosette of narrow, swordlike green to blue-green leaves with toothed edges and a sharp tip. It sends up a tall flowering stalk with yellowish blooms and is popular in dry gardens.",
Agave schottii,"
","Agave schottii is a small, low-growing desert agave with compact gray-green rosettes of stiff, spiny-edged leaves and a sharp tip. It thrives on rocky slopes in the Southwest, tolerates heat and drought, and sends up a tall flower stalk before dying.",
Agave stricta 'Nana',Dwarf Hedgehog Agave,"Agave stricta 'Nana' is a dwarf, compact agave forming small, symmetrical rosettes of short, stiff, spiny blue-green leaves with fine marginal teeth. Slow-growing and drought-tolerant, it’s ideal for containers, rock gardens, and low-water landscapes.",
Aloe sp.,"
","Aloe (Aloe sp.) is a succulent with thick, fleshy leaves arranged in a rosette. Many have toothed leaf edges and store water to survive drought. They prefer bright light, well-draining soil, and produce tall spikes of tubular yellow, orange, or red flowers.",
Aloe unknown,"
","Aloe (unknown species) is a succulent that grows in a circle of thick, fleshy, spiny-edged leaves. It produces tall flower spikes with tubular orange, yellow, or red blooms. Easy to grow, drought-tolerant, often kept as a houseplant and used medicinally.",
Drimiopsis maculata,"
","Drimiopsis maculata is a small, bulbous perennial native to Africa. It has fleshy, green leaves spotted with darker marks and sends up slender stalks of tiny white to pink bell-shaped flowers. Easy to grow in bright light and well-drained soil.",
Euphorbia abyssinica,"
","Euphorbia abyssinica is a tall, columnar succulent from East Africa that grows tree-like with branching green stems. It has small leaves, tubercled ridges, and a milky toxic sap. It produces tiny flowers and tolerates dry, sunny conditions.",
Euphorbia sp.,"
","Euphorbia sp. belongs to a large, diverse genus of plants ranging from herbs and shrubs to succulents. Many have fleshy stems, unique cup-like flower clusters (cyathia), and a milky latex sap that can irritate skin and eyes. Easy-care, drought-tolerant.",
Euphorbia unknown,"
","Euphorbia (a diverse plant genus) includes succulents and shrubs with milky sap that can irritate skin and eyes. Many have unusual shapes and small cup-like flowers (cyathia). They prefer bright light, warm temperatures, and well-draining soil; avoid overwatering.",
Euphorbia unknown hybrid,"
","An Euphorbia hybrid is a hardy, often succulent plant with varied shapes—upright stems, clumping branches, or rounded forms. It tolerates drought and bright light, bears small cup-like flowers, and has milky sap that can irritate skin or harm pets.",
Ferocactus emoryi,"
","Ferocactus emoryi, the Emory barrel cactus, is a round, ribbed desert cactus with thick green stems and strong curved spines. It grows lone or in small clumps, produces large yellow to red flowers, and prefers arid, rocky soils in the American Southwest.",
Ferocactus sp.,"
","Ferocactus species are barrel-shaped cacti with thick, ribbed bodies and strong, hooked spines. They grow slowly in dry, sunny places, store water in their stems, and produce bright, cup-shaped flowers and often colorful fruit. Low-maintenance and drought-tolerant.",
Ferocactus unknown,"
","Ferocactus species are round, barrel-shaped cacti with thick ribbed stems and heavy spines. Native to deserts, they store water, bloom bright funnel-shaped flowers, and grow slowly. They prefer full sun, well-draining soil, and minimal watering—great for dry gardens or pots.",
Fouquieria formosa,"
","Fouquieria formosa is a spiny, woody shrub native to Mexico. It has long, thin branches that bear small leaves after rain and bright tubular red-orange flowers that attract hummingbirds. It grows on rocky slopes and tolerates dry conditions.",
Gasteraloe unknown,"
","Gasteraloe (a cross between Gasteria and Aloe) is a small, slow-growing succulent with thick, fleshy, often spotted leaves in a rosette. It sends up arching stems of tubular, bell-shaped flowers. Drought-tolerant and easy to grow in pots or rock gardens.",
Gasteria hybrid,"
","Gasteria hybrid is a small, easy-care succulent with thick, tongue-shaped, mottled green leaves arranged in rosettes or opposite rows. It tolerates low light, needs well-draining soil and infrequent watering, and sends up stalks of tubular pink or orange flowers.",
Gasteria sp,"
","Gasteria sp. is a small South African succulent with thick, tongue-shaped, often mottled leaves forming low rosettes. Slow-growing and drought-tolerant, it handles bright indirect light and makes tall, tubular flower stalks. An easy-care, container-friendly houseplant.",
Gasteria species,"
","Gasteria are small South African succulents with thick, tongue-shaped leaves often mottled or ridged, growing in rosettes or stacked pairs. Slow-growing and drought-tolerant, they prefer bright, indirect light, are easy to grow indoors, and bear tall stems of tubular flowers.",
Gasteria unknown,"
","Gasteria (unknown species) is a small, slow-growing succulent with thick, tongue-shaped, often spotted leaves arranged in rosettes. It prefers bright, indirect light, well-draining soil and infrequent watering. Hardy and low-maintenance, it produces tall stems of tubular flowers.",
Gasterworthia unknown,"
","Gasterworthia (unknown) is a small, compact succulent with thick, fleshy leaves arranged in rosettes. Leaves are often patterned with spots or ridges. It forms short flower stalks with tubular blooms. Easy-care: bright light, well-draining soil, and infrequent watering.",
Graptopetalum unknown,"
","Graptopetalum (species unknown) are small rosette-forming succulents with thick, fleshy leaves that can be pale green, pinkish, or gray. They like bright light, well-draining soil, and occasional watering, and may produce delicate star-shaped flowers.",
Graptoveria #2(?),"
","Graptoveria #2 is a small rosette-forming succulent with thick, fleshy leaves that can appear blue-green to pinkish in bright light. It likes strong light, well-draining soil, and sparse watering. Easily propagated from leaves or offsets.",
Graptoveria #3(?),"
","Graptoveria #3 is a small, easy-care succulent with compact rosettes of thick, fleshy leaves that can turn pale green, pink, or purple in strong light. It needs bright light, well-draining soil, and infrequent watering—great for sunny pots or windowsills.",
Gymnocalycium possibly saglione,"
","Gymnocalycium (possibly saglione) is a small, round cactus with ribbed stems and short spines. It bears pretty white-to-pink funnel-shaped flowers. Easy to grow, it prefers bright light, well-draining soil, occasional watering, and warm, dry conditions.",
Gymnocalycium unknown,"
","Gymnocalycium (unknown species) is a small, rounded cactus with ribbed, gray-green stems and short, curved spines. It bears funnel-shaped flowers in pink, white, or yellow. Easy to grow, it prefers bright light, moderate watering, and well-draining soil.",
Haworthia unknown,"
","Haworthia (unknown species) is a small, slow-growing succulent with fleshy, often patterned leaves arranged in a rosette. Easy to care for, it prefers bright indirect light, minimal watering, and well-draining soil. Great for pots, desks, and beginner gardeners.",
Haworthiopsis attenuata var. glabrata,"
","Haworthiopsis attenuata var. glabrata is a small, clumping succulent with rosettes of thick, pointed dark-green leaves often showing white bumps or ridges. Easy to grow and drought-tolerant, it prefers bright light, well-draining soil, and suits pots or rock gardens.",
Hectia argentea,"
","I can't find reliable data for ""Hectia argentea."" Could you check the spelling or give a common name or region? If you want a quick placeholder description, here’s one (fictional/neutral):

""Hectia argentea (placeholder name) — a small evergreen perennial with silvery, narrow leaves and clusters of tiny white flowers in spring. It prefers well‑drained soil and full sun, tolerates drought once established, and suits rock gardens and borders.""",
Hectia sp.,"
","Hectia sp. denotes an unspecified species in the little-documented genus Hectia. Specific details are scarce; individual species can vary in size, leaf form, and flowers. For accurate identification, consult taxonomic literature, regional floras, or herbarium specimens.",
Juttadinteria suavissima,"
","Juttadinteria suavissima is a small, clumping succulent with very soft, velvety grey-green leaves. It forms low mats and produces daisy-like flowers in the growing season. Native to arid southern Africa, it likes bright light, sharp drainage and infrequent watering.",
Mammillaria unknown,"
","Mammillaria unknown is a small, globular cactus with rounded tubercles instead of ribs. It has dense spines, often forms clumps, and blooms a ring of small colorful flowers. Easy to grow with bright light, good drainage, and infrequent watering.",
Mammillaria unknown ,"
","Mammillaria unknown is a small, round cactus covered with nipple-like bumps (tubercles) and short spines. It often forms clumps and produces a ring of small, colorful flowers in spring or summer. Easy to grow: bright light, minimal water, well-draining soil.",
Opuntia sp.,"
","Opuntia species (prickly pear) are flat-padded cacti with spines and tiny barbed glochids, producing bright flowers and sweet, edible fruits. They store water, thrive in dry, sunny places, and are used for food, gardens, and erosion control.",
Opuntia unknown,"
","Opuntia (prickly pear) is a cactus with flat, paddle-like pads covered in spines and tiny barbed glochids. It produces bright flowers and edible fruits. Tough and drought-tolerant, it prefers sunny, well-drained soil and thrives in dry climates.",
Raphianacme flanaganii,"
","Raphianacme flanaganii is a tuberous, drought‑tolerant succulent from southern Africa. It forms a swollen underground caudex and sends up thin seasonal stems with tiny leaves. In season it produces clusters of small pale tubular flowers and is grown as a caudiciform plant.",
Sedum pachyphyllum ,Jelly Bean Plant,"Sedum pachyphyllum is a low-growing succulent with thick, blue-green leaves that blush red in strong sun. It forms trailing clumps and produces small yellow star-shaped flowers in summer. Drought-tolerant and easy to grow in pots, rock gardens, or sunny borders.",
Senecio crassisimus,"
","Senecio crassisimus is a compact succulent with upright stems and thick, pale blue-green leaves that may redden in strong sun. It forms small clusters and produces yellow, daisy-like flowers. Easy-care and drought-tolerant, it suits sunny, well-drained pots and rock gardens.",
Unknown Gasteria,"
","Unknown Gasteria is a small, slow-growing succulent with thick, tongue-shaped leaves often mottled with spots or bands. It prefers bright, indirect light, well-draining soil, and infrequent watering. Easy-care and compact, it makes a great indoor or rock-garden plant.",
Adenium boehmianum ,Bushman Poison ,"Adenium boehmianum is a striking, drought-tolerant succulent shrub with a swollen, bottle-like trunk (caudex) and smooth grey bark. It bears clusters of vivid pink to deep red tubular flowers and small glossy leaves, thriving in full sun and well-drained soil.",
Aloe cameronii,"
","Aloe cameronii is a striking, medium-to-large succulent from southern Africa. It forms rosettes of thick, spiky green to reddish leaves edged with small teeth and produces tall spikes of tubular orange-red flowers—attractive to birds and ideal for hot, dry gardens.",
Aloe harlana,"
","Aloe harlana is a clumping succulent forming rosettes of thick, toothed green leaves. It sends up tall spikes of tubular orange-red flowers that attract birds and insects. Drought-tolerant and easy to grow in bright light and well-draining soil.",
Aloe jacksonii,"
","Aloe jacksonii is a small to medium succulent forming rosettes of thick, triangular leaves edged with tiny teeth. In season it produces tall flower spikes with tubular orange-red blooms that attract birds and insects. Easy to grow in sunny, well-drained conditions.",
Aloe jucunda,"
","Aloe jucunda is a small, clumping succulent forming rosettes of thick, toothed green leaves often with pale spots. It produces tall stalks of tubular orange-red flowers. Hardy and drought-tolerant, it’s well suited to rock gardens, containers, or dry landscapes.",
Aloe maculata ,"
","Aloe maculata is a hardy, spotted-leaf succulent with broad, thick, green to gray-green leaves and vibrant orange to red tubular flowers on tall stalks. It tolerates drought, attracts pollinators, and is often used in gardens and landscapes.",
Aloe munchii,"
","Aloe munchii is a small succulent forming rosettes of thick, toothed green leaves. In season it sends up tall stalks of tubular orange-red flowers that attract birds. It likes full sun, well-drained soil and tolerates drought.",
Aloe rivae,"
","Aloe rivae is a small, clumping succulent from East Africa with thick, triangular green leaves often marked with pale spots. It sends up tall stalks of tubular orange-red flowers. Drought-tolerant and sun-loving, it’s ideal for rock gardens and containers.",
Aloe rivierei,"
","Aloe rivierei is a compact succulent forming dense rosettes of thick, triangular leaves with toothed margins. In summer it sends up tall stalks of tubular orange–red flowers that attract pollinators. Drought-tolerant and ideal for rock gardens or containers.",
Dracaena serpenta,"
","Dracaena serpenta is a compact tropical houseplant with narrow, often patterned strap-like leaves growing from cane-like stems. It tolerates low light, prefers moderate watering and well-draining soil, and is a popular, easy-care choice for homes and offices.",
Dracaena unknown,"
","Dracaena (unknown species) is a tropical houseplant with upright stems and glossy, sword-like leaves. Easy to grow, it tolerates low light and occasional watering. Commonly kept indoors for its air-purifying qualities and neat, architectural appearance.",
Euphorbia tirucalli ,Pencil Plant,"Euphorbia tirucalli, called pencil cactus or milk bush, is a succulent with smooth, pencil-like green stems and few leaves. It stores water, tolerates drought, and is often grown as an ornamental. Its milky sap is toxic and can irritate skin and eyes.",
Gasteria obliqua,"
","Gasteria obliqua is a small South African succulent with thick, triangular, dark-green leaves often marked with pale spots. Leaves form a fan-like arrangement. It produces short stems of pink, tubular flowers and grows slowly in bright, indirect light.",
Gasteria sp.,"
","Gasteria is a small, slow-growing succulent from South Africa with thick, fleshy, mottled leaves arranged in rosettes or two-ranked rows. It prefers bright, indirect light, infrequent watering, and well-draining soil. Easy to grow and ideal for pots and indoor gardens.",
Haworthia sp.,"
","Haworthia sp. are small, low-growing succulent rosettes with thick, often patterned or translucent leaves. Easy to care for, they prefer bright light, infrequent watering, and good drainage. Ideal for pots, windowsills, and beginner gardeners.",
Tephrocactus articulatus,Paper Spine,"Tephrocactus articulatus is a small, jointed cactus with round, segmented stems and distinctive papery spines. It forms clumps of detachable joints that root easily. Produces white to pink flowers; thrives in bright sun, well-drained soil and sparse watering.",
STETSONIA CORYNE,Toothpick Cactus,"Stetsonia coryne is a tall, tree-like cactus from the Gran Chaco of South America. It forms thick columnar stems with dark spines, bears large white night-blooming flowers and red edible fruits, and thrives in hot, dry scrubland as a dramatic ornamental.",
Carnegiea gigantea ,Giant Saguaro  ,"Carnegiea gigantea, the saguaro cactus, is a giant columnar cactus of the Sonoran Desert. It grows slowly for centuries, developing upward arms, ribbed flesh and sharp spines. Saguaros store water, bloom fragrant white flowers, and provide food and shelter for wildlife.",
Yucca elata,SOAP TREE,"Yucca elata, the soaptree yucca, is a desert shrub with stiff, sword-shaped leaves and a tall flower stalk of hanging white bell-shaped blooms. Tough and drought-tolerant, it thrives in sandy soils and adds sculptural form to arid landscapes.",
Brachychiton rupestris,Australian Bottle Tree,"Brachychiton rupestris, the Queensland bottle tree, is a small to medium Australian tree with a swollen, water-storing trunk, glossy green lobed leaves, and clusters of creamy bell-shaped flowers. Very drought-tolerant, it’s popular as an ornamental and street tree.",
Brachychiton sp.,Australian Bottle Tree,"Brachychiton species are Australian trees or shrubs known for thick, often bottle-shaped trunks, variable lobed leaves and clusters of bell-like cream, pink or red flowers. They store water, tolerate drought, and make low-maintenance ornamental trees.",
Hohenbergia magnispina,"
","Hohenbergia magnispina is a striking bromeliad with a rosette of stiff, heavily spined leaves and a tall central flower spike bearing colorful tubular blooms. It prefers warm, humid conditions and makes a dramatic, architectural plant for gardens or containers.",
Aloe deltoideodonta,"
","Aloe deltoideodonta is a small, rosette-forming succulent with triangular, toothed leaves and spiky margins. It sends tall flower stalks with tubular orange or red blooms that attract birds and bees. Drought-tolerant, it prefers full sun and well-draining soil.",
Calibanus hookeri,Mexican Boulder,"Calibanus hookeri is a slow-growing, caudiciform succulent from northeastern Mexico. It forms a stout, woody trunk (caudex) topped by dense tufts of narrow, grasslike gray-green leaves and produces small clusters of white-green flowers. Very drought-tolerant and great in containers.",
